label,left_id,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_id,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released
0,1409,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic 2015 Interscope Records 6:30",,,,$ 1.29,,,18-May-15,51560,Transmission [ feat . X Ambassadors ] Dance & Electronic $ 1.29 ( C ) 2015 Interscope Records 4:02,Zedd,True Colors,,,,,"May 18 , 2015"
0,1289,"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) Dance , Music , Rock , House , Electronic 26-Aug-11",David Guetta,Nothing But the Beat,,$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,,34035,"I Can Only Imagine ( feat . Chris Brown & Lil Wayne ) David Guetta Dance & Electronic 2015 Real Sounds 3:29 August 26 , 2011",,Nothing But the Beat 2.0 [ Explicit ],,$ 0.99,,,
0,1314,"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) David Guetta Nothing But the Beat Dance , Music , House , Electronic , Rock",,,,$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,34035,"I Can Only Imagine ( feat . Chris Brown & Lil Wayne ) David Guetta Dance & Electronic 2015 Real Sounds 3:29 August 26 , 2011",,Nothing But the Beat 2.0 [ Explicit ],,$ 0.99,,,
1,2666,Silver and Gold 3:33,Little Big Town,Pain Killer,"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,"2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville",,21-Oct-14,35475,Silver And Gold Little Big Town Country ( C ) 2014 Little Big Town LLC Under exclusive license to Capitol Records Nashville 3:31,,Pain Killer,,$ 1.29,,,"October 21 , 2014"
0,1157,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14",,Listen ( Deluxe Version ),,,,3:20,,27989,"I 'll Keep Loving you ( feat . Birdy & Jaymes Young ) David Guetta Listen ( Deluxe ) $ 1.29 2015 If Moving Your Mine November 24 , 2014",,,Dance & Electronic,,,3:08,
0,1164,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14",,,"Dance , Music , Rock , House , Electronic , French Pop",,,3:20,,27989,"I 'll Keep Loving you ( feat . Birdy & Jaymes Young ) David Guetta Listen ( Deluxe ) $ 1.29 2015 If Moving Your Mine November 24 , 2014",,,Dance & Electronic,,,3:08,
0,3332,"True Colors ( feat . Nicki Minaj ) Wiz Khalifa Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock 4:15 19-Aug-14",,Blacc Hollywood,,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,,7412,"Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ] $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company 4:16 August 19 , 2014",Wiz Khalifa,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,,,,
0,1303,"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) David Guetta Dance , Music , House , Electronic , Rock $ 1.29 3:34 26-Aug-11",,Nothing But the Beat,,,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",,,34060,"In My Head ( feat . Nervo ) David Guetta Dance & Electronic 2015 Real Sounds 3:51 August 26 , 2011",,Nothing But the Beat 2.0 [ Explicit ],,$ 0.99,,,
0,1155,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14",,,,,,3:20,,9941,"Bloody War ( Album Version ( Edited ) ) [ feat . BG ] [ Clean ] September 20 , 2005",David Banner,Certified ( Edited Version ),Rap & Hip-Hop,$ 0.99,"( C ) 2014 Island Records , a division of UMG Recordings , Inc.",4:27,
0,1155,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14",,,,,,3:20,,31283,"Choose Me ( Album Version ( Edited ) ) [ feat . Sky ] [ Clean ] David Banner Mississippi-The Album ( Explicit Version ) Pop $ 0.99 ( C ) 2003 Universal Records , a Division of UMG Recordings , Inc.",,,,,,4:24,"May 20 , 2003"
