label,left_id,left_name,left_addr,left_city,left_phone,left_type,left_class,right_id,right_name,right_addr,right_city,right_phone,right_type,right_class
0,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,184,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719
0,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,184,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719
0,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,184,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719
0,393,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,184,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719
0,422,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,184,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719
0,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,174,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708
0,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,174,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708
0,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,174,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708
0,422,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,174,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708
0,410,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,174,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708
0,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,292,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74
0,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,292,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74
0,393,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,292,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74
0,410,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,292,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74
0,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,307,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89
0,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,307,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89
0,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,307,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89
0,393,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,307,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89
0,422,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,307,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89
1,89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,307,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89
0,410,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,307,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89
1,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,310,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92
0,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,310,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92
0,422,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,310,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92
0,89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,310,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92
0,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,303,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85
0,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,303,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85
0,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,303,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85
0,393,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,303,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85
0,422,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,303,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85
1,85,` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,303,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85
0,89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,303,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85
0,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,172,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706
0,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,172,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706
0,422,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,172,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706
0,89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,172,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706
0,410,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,172,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706
0,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,175,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709
0,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,175,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709
0,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,175,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709
0,422,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,175,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709
0,410,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,175,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709
0,256,` gallagher \ 's ',' 228 w. 52nd st. ',` new york ',212/245 -5336,american,254,89,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623
0,247,` fleur de jour ',' 348 e. 62nd st. ',` new york ',212/355 -2020,` coffee bar ',245,89,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623
0,112,bolo,'23 e. 22nd st. ',` new york ',212/228 -2200,mediterranean,191,89,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623
0,23,'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,89,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623
0,34,` four seasons grill room ','99 e. 52nd st. ',` new york ',212/754 -9494,american,34,89,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623
0,235,'em pire korea ',' 6 e. 32nd st. ',` new york ',212/725 -1333,asian,233,89,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623
0,256,` gallagher \ 's ',' 228 w. 52nd st. ',` new york ',212/245 -5336,american,254,77,` edison cafe ',' 228 w. 47th st. ',` new york city ',212-840-5000,diners,611
0,263,` hard rock cafe ',' 221 w. 57th st. ',` new york ',212/489 -6565,american,261,77,` edison cafe ',' 228 w. 47th st. ',` new york city ',212-840-5000,diners,611
0,368,` two two two ',' 222 w. 79th st. ',` new york ',212/799 -0400,american,368,77,` edison cafe ',' 228 w. 47th st. ',` new york city ',212-840-5000,diners,611
0,256,` gallagher \ 's ',' 228 w. 52nd st. ',` new york ',212/245 -5336,american,254,241,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23
0,371,` victor \ 's cafe ','52 236 w. 52nd st. ',` new york ',212/586 -7714,` latin american ',371,241,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23
1,23,'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,241,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23
0,34,` four seasons grill room ','99 e. 52nd st. ',` new york ',212/754 -9494,american,34,241,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23
0,277,` judson grill ',' 152 w. 52nd st. ',` new york ',212/582 -5252,american,276,241,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23
0,436,` center stage plaza hotel ',' 1 main st. ',` las vegas ',702/386 -2512,american,436,223,` chinois on main ',' 2709 main st. ',` santa monica ',310-392-9025,` pacific new wave ',5
0,138,` gilliland \ 's ',' 2424 main st. ',` santa monica ',310/392 -3901,american,135,223,` chinois on main ',' 2709 main st. ',` santa monica ',310-392-9025,` pacific new wave ',5
0,415,` sa tsu ki ',' 3043 buford hwy . ',atlanta,404/325 -5285,asian,415,161,` havana sandwich shop ',' 2905 buford hwy . ',atlanta,404-636-4094,cuban,695
0,18,` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,french,18,46,` mulberry st. ',' 17040 ventura blvd. ',encino,818-906-8881,pizza,580
0,1,` art \ 's delicatessen ',' 12224 ventura blvd. ',` studio city ',818/762 -1221,american,1,46,` mulberry st. ',' 17040 ventura blvd. ',encino,818-906-8881,pizza,580
0,18,` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,french,18,56,` rubin \ 's red hots ',' 15322 ventura blvd. ',encino,818-905-6515,` hot dogs ',590
0,159,posto,' 14928 ventura blvd. ',` sherman oaks ',818/784 -4400,italian,156,56,` rubin \ 's red hots ',' 15322 ventura blvd. ',encino,818-905-6515,` hot dogs ',590
0,18,` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,french,18,61,` sushi nozawa ',' 11288 ventura blvd. ',` studio city ',818-508-7017,japanese,595
0,159,posto,' 14928 ventura blvd. ',` sherman oaks ',818/784 -4400,italian,156,61,` sushi nozawa ',' 11288 ventura blvd. ',` studio city ',818-508-7017,japanese,595
0,3,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,3,61,` sushi nozawa ',' 11288 ventura blvd. ',` studio city ',818-508-7017,japanese,595
0,18,` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,french,18,221,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',3
0,159,posto,' 14928 ventura blvd. ',` sherman oaks ',818/784 -4400,italian,156,221,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',3
1,3,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,3,221,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',3
0,1,` art \ 's delicatessen ',' 12224 ventura blvd. ',` studio city ',818/762 -1221,american,1,221,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',3
0,221,` china grill ','60 w. 53rd st. ',` new york ',212/333 -7788,american,219,277,seryna,'11 e. 53rd st. ',` new york city ',212-980-9393,japanese,59
1,59,seryna,'11 e. 53rd st. ',` new york ',212/980 -9393,asian,59,277,seryna,'11 e. 53rd st. ',` new york city ',212-980-9393,japanese,59
0,113,` il nido ',' 251 e. 53rd st. ',` new york ',212/753 -8450,italian,267,277,seryna,'11 e. 53rd st. ',` new york city ',212-980-9393,japanese,59
0,221,` china grill ','60 w. 53rd st. ',` new york ',212/333 -7788,american,219,258,` la cote basque ','60 w. 55th st. ',` new york city ',212-688-6525,` french ( classic ) ',40
0,43,lespinasse,' 2 e. 55th st. ',` new york ',212/339 -6719,american,43,258,` la cote basque ','60 w. 55th st. ',` new york city ',212-688-6525,` french ( classic ) ',40
0,356,` tang pavillion ','65 w. 55th st. ',` new york ',212/956 -6888,asian,356,258,` la cote basque ','60 w. 55th st. ',` new york city ',212-688-6525,` french ( classic ) ',40
1,40,` la cote basque ','60 w. 55th st. between 5th and 6th ave. ',` new york ',212/688 -6525,french,40,258,` la cote basque ','60 w. 55th st. ',` new york city ',212-688-6525,` french ( classic ) ',40
0,43,lespinasse,' 2 e. 55th st. ',` new york ',212/339 -6719,american,43,257,` la caravelle ','33 w. 55th st. ',` new york city ',212-586-4252,` french ( classic ) ',39
0,43,lespinasse,' 2 e. 55th st. ',` new york ',212/339 -6719,american,43,251,felidia,' 243 e. 58th st. ',` new york city ',212-758-1479,italian,33
0,52,petrossian,' 182 w. 58th st. ',` new york ',212/245 -2214,french,52,251,felidia,' 243 e. 58th st. ',` new york city ',212-758-1479,italian,33
1,33,felidia,' 243 e. 58th st. ',` new york ',212/758 -1479,italian,33,251,felidia,' 243 e. 58th st. ',` new york city ',212-758-1479,italian,33
0,43,lespinasse,' 2 e. 55th st. ',` new york ',212/339 -6719,american,43,278,` shun lee palace ',' 155 e. 55th st. ',` new york city ',212-371-8844,chinese,60
0,46,march,' 405 e. 58th st. ',` new york ',212/754 -6272,american,46,278,` shun lee palace ',' 155 e. 55th st. ',` new york city ',212-371-8844,chinese,60
0,286,` le chantilly ',' 106 e. 57th st. ',` new york ',212/751 -2931,french,285,278,` shun lee palace ',' 155 e. 55th st. ',` new york city ',212-371-8844,chinese,60
0,287,` le colonial ',' 149 e. 57th st. ',` new york ',' 212 / 752-0808 ',asian,286,278,` shun lee palace ',' 155 e. 55th st. ',` new york city ',212-371-8844,chinese,60
1,43,lespinasse,' 2 e. 55th st. ',` new york ',212/339 -6719,american,43,261,` lespinasse ( new york city ) ',' 2 e. 55th st. ',` new york city ',212-339-6719,asian,43
0,44,lutece,' 249 e. 50th st. ',` new york ',212/752 -2225,french,44,261,` lespinasse ( new york city ) ',' 2 e. 55th st. ',` new york city ',212-339-6719,asian,43
